0,1,2
-6.504728,1.9844736,6.867131
10.334952,11.7366495,7.8969164
-6.699761,1.9792923,6.22388
2.9369183,7.744367,6.920509
2.156815,8.46431,7.72493
-2.5636706,7.8591375,4.341834
9.010258,11.313023,8.22948
2.7316415,6.9642296,8.348929
1.034257,6.1630297,7.1106267
0.34179214,6.92832,6.511081
-2.726158,8.114641,4.9767895
8.861106,9.068176,6.850271
3.5791318,8.101636,7.301136
8.169562,10.187444,7.534521
-0.3206484,5.5732594,7.035418
0.24526002,6.190546,7.105374
9.003148,10.961659,6.9411893
2.0967464,8.440402,7.8564477
9.214462,12.073428,6.8178144
-0.6302111,5.604474,6.2837925
-2.981054,9.801346,5.1057963
8.493042,10.633121,6.934046
2.0445654,7.8236203,7.078106
3.596396,8.550842,7.039199
1.9164952,8.442568,7.932336
9.549239,11.487861,8.41598
-2.3936427,7.8160644,5.7404876
10.273583,11.350242,6.9792933
-2.5521214,8.518471,4.701043
-1.0151919,6.816034,5.9875393
-1.2916232,6.0894003,6.90913
-0.6813602,6.411094,5.817043
-3.9596145,2.752748,5.119539
0.22574338,4.533735,6.6110606
-3.2774394,2.330653,4.3624773
10.931041,11.791256,8.640605
-1.753278,2.9318914,5.235755
2.9580483,7.6535034,7.150053
-0.643173,6.9442635,5.8673186
9.029935,10.897057,5.95476
0.6222289,5.466421,7.169527
-3.151181,2.6315064,5.07768
2.0352252,7.779753,8.801029
-2.1668925,5.2256722,5.837661
0.8409274,5.931581,7.345638
11.476727,11.40569,7.6475334
11.171756,11.669437,7.1982107
9.022756,10.74522,7.2708178
-1.9737983,7.240325,5.774652
-2.6590333,7.915912,4.3945484
5.79137,9.185108,7.0784144
10.535231,11.520303,7.3221416
2.4391086,6.948015,8.032366
10.454179,11.553334,8.148691
-0.77424836,4.7178817,5.0673575
11.016587,10.495468,8.034348
9.321521,10.831471,6.128815
3.698607,8.707023,7.3417964
-3.4297304,4.1538644,5.5802264
6.0588145,10.032786,7.3382063
-5.2252817,2.2487133,6.0521765
-6.839929,2.0438654,5.8517256
10.371471,10.735666,8.002687
12.207424,10.570679,7.511889
0.16487315,6.425764,6.5912614
-5.265907,2.2910209,5.334217
-2.78472,2.3636603,6.1664295
7.904981,11.366857,7.3756237
-6.6587777,2.0280879,6.815706
2.375477,8.043155,8.126734
7.3917375,10.76886,6.786455
2.0853283,8.396243,8.68389
2.6321542,6.8487706,7.56023
-6.5815673,2.2829273,6.0330157
-6.6551466,1.8484726,7.0673485
-0.7709602,3.984987,5.9937034
-2.783139,2.3129907,5.816838
6.187712,9.436937,6.897481
-3.3946657,3.8352737,5.4235373
11.152129,11.108084,8.200389
-1.7756652,6.8646793,5.1969123
-1.1707405,6.73612,6.719369
-6.4146714,1.8737539,6.9178233
2.1607885,7.137957,7.573578
1.8320205,7.6599884,7.795582
11.449978,11.50907,8.126469
-2.3348198,2.8282416,5.589785
-3.7060988,2.2006295,4.8580923
9.014093,9.261271,7.0224333
-2.6353261,8.031586,5.554968
-1.7417717,4.691225,5.8646936
-1.8780456,8.009745,5.5201297
1.2973155,6.2921767,7.5100923
-0.8358111,5.2954607,5.1975636
8.010717,9.18836,6.633158
-0.8825926,4.046093,5.804032
-0.36984384,5.6274633,5.4606786
-1.8179206,7.465079,6.1059556
4.9508166,8.871214,6.73805
-4.173365,8.87929,4.08816
-3.7933996,8.844484,4.4417048
9.310296,10.768326,6.248314
-6.702735,1.9496601,6.634666
-3.458978,2.393819,4.935947
11.421592,10.449938,8.031748
2.3337123,7.85279,6.998792
-1.5644423,7.1480355,5.9578495
8.382251,11.923041,7.835647
1.4623954,7.265469,6.9839087
-1.8027595,4.071537,5.8653584
9.49752,10.1235485,7.181745
-2.6764948,8.123636,5.4037995
5.3372154,9.0517025,7.1816044
9.349471,11.2158165,8.076271
9.9008465,9.821257,6.940875
10.092851,9.426361,7.3475738
-2.9860191,2.689398,5.177485
-0.51026195,5.0667443,6.4706473
-3.654574,7.9808292,4.1228523
-6.414014,2.2330368,6.0232515
2.4908001,7.5090594,7.098096
-2.970415,2.5562334,4.590876
9.089911,10.229621,6.9126105
11.038831,10.743163,7.135368
10.888887,11.342296,8.769893
-1.731614,4.6752753,6.780918
-2.168314,7.435172,5.9844685
10.349821,11.053661,7.148779
8.801672,12.081112,7.545964
11.4282675,10.909161,8.145035
0.6010825,6.563709,7.0410204
-0.069184095,4.515926,6.3162937
-1.3795797,6.811863,6.6091766
8.152693,11.624553,6.9211974
-3.511192,7.8739467,4.4013762
0.21886665,6.453734,6.4791827
-3.7175486,8.803937,4.6755342
9.772602,10.382239,7.554182
12.273622,11.2156725,7.505939
9.983339,10.019658,7.520313
2.617131,6.9665346,8.229178
0.7568707,6.1848497,7.4539704
-1.3952508,4.600232,6.5675993
1.3612306,7.085071,7.7678647
9.414669,11.64908,6.9076314
-3.3832068,2.324097,5.273284
7.4622397,11.285569,8.075573
